"Humano" 1 2900 23000
"Raton" 75 3400 23000
"Arroz" 100 390 28300
"E. Coli" 150 4.6 4400
"Pez cebra" 300 1200 15760
"Naegleria Gruberi" 1000 41 15727
"Streptomyces Coelicolor" 450 6.7 7842
"Mosca de la fruta" 250 122 17000
"Erizo de mar" 300 814 23300
"Helicobacter Pylori" 150 1.7 1589
